date,description,amount
2026-05-01,PAYROLL DEPOSIT ACME CORP,4850.00
2026-05-02,DOORDASH ORDER,-32.50
2026-05-03,TRADER JOES #552,-87.20
2026-05-04,NETFLIX.COM,-15.49
2026-05-05,ZELLE RENT PAYMENT,-1800.00
2026-05-07,UBER TRIP,-18.75
2026-05-08,AMAZON MKTPLACE,-129.99
2026-05-10,GRUBHUB ORDER,-27.80
2026-05-12,CON EDISON ELECTRIC BILL,-94.30
2026-05-14,AMAZON REFUND,45.99
2026-05-15,UBER EATS,-24.60
2026-05-18,SHELL GAS STATION,-52.00
2026-05-21,T-MOBILE PAYMENT,-70.00
2026-05-25,CVS PHARMACY #1123,-36.40
2026-05-28,AMC THEATRES,-34.00
